country_name,country_text_id,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,deaths_late,deaths_mid,deaths_early,deaths_sum,gdppc,population,dem_cat
Rwanda,RWA,2020,0.212,0.107,0.14,0.177,0.196,8.910713546699968e-4,4.0326392609999997e-4,1.719030414499986e-4,0.0014662383222199954,1929.29,13276517,autocracy
Somalia,SOM,2020,0.159,0.097,0.086,0.104,0.087,5.841586443700005e-4,3.4458578118999876e-4,2.628474933699989e-4,0.0011915919189299982,NA,16359500,autocracy
Sri Lanka,LKA,2020,0.606,0.379,0.346,0.34,0.423,0.001162578976929998,1.301970896799994e-4,-1.6268290556000064e-4,0.0011300931610499969,11662.91,21497306,middle
Eswatini,SWZ,2020,0.135,0.12,0.082,0.068,0.084,0.0011159134384999933,0.0012284226660999942,5.681478481699987e-4,0.0029124839527699857,8068.21,1172369,autocracy
Tajikistan,TJK,2020,0.177,0.047,0.066,0.063,0.077,6.047632954999993e-4,8.136515911349847e-4,3.190435532430273e-4,0.0017374584398780113,4440.38,9749625,autocracy
Togo,TGO,2020,0.418,0.2,0.259,0.337,0.346,5.623250681299996e-4,1.9149500551999914e-4,5.880624924999905e-5,8.126263228999978e-4,1451.36,8478242,middle
Trinidad and Tobago,TTO,2020,0.755,0.643,0.484,0.685,0.609,0.0012572080652599998,2.0645375820999858e-4,-2.1870434880001075e-5,0.0014417913885899974,28549.41,1403374,democracy
Turkmenistan,TKM,2020,0.152,0.042,0.035,0.034,0.106,1.3362386589999955e-4,1.9354883547999946e-4,1.9540893525999998e-4,5.22581636639999e-4,26318.37,5942000,autocracy
Uzbekistan,UZB,2020,0.227,0.105,0.073,0.194,0.172,2.0758275919591435e-4,2.7960708970635966e-4,3.3469065172082835e-4,8.218805006231024e-4,11220.37,33935765,autocracy
Austria,AUT,2020,0.842,0.758,0.615,0.718,0.764,2.782818192419249e-4,8.029801180918152e-4,2.0439093154551544e-4,0.0012856528688792554,42988.07,9043072,democracy
Bahrain,BHR,2020,0.118,0.048,0.036,0.041,0.109,8.134170291099989e-4,4.4103947537999855e-4,5.818159218199978e-4,0.0018362724263099952,39498.77,1748295,autocracy
Barbados,BRB,2020,0.798,0.684,0.35,0.688,0.663,-9.700865300006095e-7,1.2200150178999905e-4,-1.2349700797000066e-4,-2.4655927100021944e-6,11995.19,287708,democracy
Belgium,BEL,2020,0.887,0.821,0.634,0.815,0.824,4.7837455366037944e-5,7.202192525485493e-4,8.866128160086502e-4,0.0016546695239232374,39756.2,11632334,democracy
Bosnia and Herzegovina,BIH,2020,0.545,0.34,0.337,0.336,0.376,0.0020343511847175284,0.0023826851557757467,3.922355818884775e-4,0.004809271922381753,10460.52,3263459,middle
Bulgaria,BGR,2020,0.603,0.491,0.449,0.481,0.44,0.0023258445493705305,0.0028831564024481312,1.8062281764512334e-4,0.005389623769463784,18444.26,6896655,middle
Comoros,COM,2020,0.36,0.173,0.254,0.278,0.275,4.6258876516999995e-4,6.030744549199995e-4,1.6388557366999845e-4,0.0012295487937599978,1724.42,888456,middle
Croatia,HRV,2020,0.753,0.641,0.526,0.574,0.588,9.674517698424343e-4,0.0016600973428375228,1.8373458941626733e-4,0.0028112837020962244,22012.31,4081657,democracy
Cuba,CUB,2020,0.184,0.085,0.118,0.109,0.246,0.0010410014089999979,2.4501367154562405e-4,-6.065448718865604e-5,0.0012253605933569658,8325.63,11317498,autocracy
Cyprus,CYP,2020,0.825,0.724,0.53,0.633,0.732,1.588784694165036e-4,-1.8229710555776069e-4,1.043020876382102e-4,8.088345149695311e-5,27184.42,896005,democracy
Czech Republic,CZE,2020,0.805,0.708,0.53,0.635,0.716,4.992568467263966e-4,0.002692405441064793,1.0138454559221967e-4,0.003293046833383409,30748.51,10724553,democracy
Denmark,DNK,2020,0.91,0.878,0.696,0.869,0.87,3.3011006908148756e-5,7.42480131938705e-5,3.028322038290044e-5,1.375422404849197e-4,46312.34,5813302,democracy
Equatorial Guinea,GNQ,2020,0.179,0.056,0.053,0.049,0.113,2.732239640899993e-4,2.365604314499991e-4,2.694680176999987e-4,7.792524132399973e-4,28528.95,1449891,autocracy
Estonia,EST,2020,0.89,0.832,0.625,0.7,0.796,9.448405207682095e-4,6.844138086761921e-4,1.6691377738956424e-4,0.0017961681068339656,27408.66,1325188,democracy
Fiji,FJI,2020,0.418,0.279,0.197,0.308,0.32,0.001122186782219998,-1.2715097773000075e-4,-1.4819579481000067e-4,8.468400096799968e-4,NA,902899,middle
Finland,FIN,2020,0.878,0.837,0.631,0.807,0.802,9.492743870953068e-5,4.9551968543252904e-5,2.0625991971011767e-4,3.5073932696290123e-4,38896.7,5548361,democracy
Greece,GRC,2020,0.843,0.744,0.611,0.768,0.715,9.926843784496533e-4,3.0841119683899684e-4,9.859290005571372e-5,0.0013996884753443635,23450.77,10370747,democracy
Guyana,GUY,2020,0.556,0.404,0.34,0.383,0.405,8.479946743799948e-4,3.368049610799976e-4,-1.1505395195000112e-4,0.0010697456835099914,NA,790329,middle
Hong Kong,HKG,2020,0.306,0.253,0.114,0.171,0.288,-6.570841643982363e-6,1.9799764973935753e-4,1.8790080447798988e-4,3.7932761257336497e-4,50839.37,7552800,autocracy
Iceland,ISL,2020,0.854,0.79,0.632,0.789,0.754,3.569303638937244e-5,4.619282324753673e-5,-1.547250829868716e-4,-7.283922334996247e-5,43438.54,343360,democracy
Israel,ISR,2020,0.737,0.648,0.474,0.558,0.597,1.5448913971035603e-4,3.488714044736206e-4,1.830149794668692e-4,6.863755236508458e-4,32954.77,8789776,democracy
Kuwait,KWT,2020,0.317,0.288,0.1,0.275,0.246,0.002088977409539994,8.328275734799983e-4,0.0019294506404599935,0.004851255623479986,65520.74,4328553,autocracy
Lithuania,LTU,2020,0.821,0.76,0.627,0.695,0.71,0.0012694445481850516,0.0025318180281620004,7.294992260532766e-4,0.004530761802400329,27370.55,2689862,democracy
Luxembourg,LUX,2020,0.869,0.783,0.595,0.824,0.804,-5.510728557301927e-5,4.379382989284727e-4,9.582210455855178e-5,4.786531179140052e-4,57427.5,634814,democracy
North Macedonia,MKD,2020,0.633,0.428,0.43,0.43,0.437,0.002297057688878227,0.0027697292297385414,6.986870461715424e-4,0.005765473964788311,13074.23,2082661,middle
Malaysia,MYS,2020,0.4,0.284,0.247,0.301,0.31,5.429310912240339e-4,-7.287790071697904e-5,-1.876531429925293e-4,2.8240004751452566e-4,24842.36,32776195,middle
Malta,MLT,2020,0.772,0.612,0.56,0.62,0.676,1.2029473364731229e-4,6.881519518931927e-4,8.549072503784344e-5,8.939374105783483e-4,32028.91,514564,democracy
